"","period_1","period_2","period_3","period_4","period_5","period_6","period_7","period_8","period_10"
"A",-0.000547220777943081,0.000458437156641221,-0.000631075189243637,0.00158822585426583,0.000292481867072883,0.00176410316841284,0.00122759857911647,-0.000878150921189451,0.00063958672980796
"AAL",0.00117405849964095,-0.00192105796724135,-5.42646699281729e-05,-0.00211302419256661,0.00236387029097266,0.000995017708214909,-1.52983002620696e-05,-0.00254287446649941,-0.00134320062128762
"AAP",0.00158118131589393,0.000859648391073442,-0.00138511584067039,0.00121081164298073,0.000300433526767291,-0.00409565441899424,0.000469398318268447,0.00158107179346309,0.00115266607823583
"AAPL",0.000780206462134945,0.00148337357333469,-0.00240504816877426,-0.000117805276087564,0.00162430505406348,0.00161667999566578,0.00145683728306068,0.000703441060646868,-0.00126981833512458
"ABBV",0.0014988879904356,0.000917370046639262,-0.00247866211004647,0.001431138457905,-6.88321585505838e-05,0.001087601007357,0.00281519093278199,-0.000387940602319164,-5.00659139632043e-05
"ABC",0.00185230320673573,0.00167804913684042,-0.00164626136826272,-0.00100796250173084,0.000127480947087943,0.000825038888827331,0.000241047347748971,-0.000697940665851113,-0.00121801147589188
"ABMD",0.00312462796118461,0.0052183854274569,0.001413041354303,0.00227131655559787,-0.000161863225882752,0.00155697949053625,0.00266156742667896,0.00591626141850933,-0.00205222996951491
"ABT",0.000368619590085369,0.00105456001485622,-0.00166899383966514,0.000250861865242624,-0.000226844834024744,0.00149719347258215,0.0017121770385178,0.000373697353917659,0.00133967974364269
"ACN",0.000906557454546139,0.00118710914356507,-3.1826449081254e-05,0.00110484588213835,6.96004761961751e-05,0.000704538451110361,0.00186496834670161,0.000419975055357241,-0.00119007787168035
"ADBE",-3.50603433096337e-05,0.00111597129270183,0.00059287791830758,0.000644001786126662,0.000843892106239231,0.00217725834873363,0.00189836227642032,0.00230441615927779,-0.000660361327657036
"ADI",0.000487696099056788,0.00121839064804659,-0.00161381449994603,0.00129677079983008,0.00166115478844612,0.000790048363153873,0.0013004652266295,0.000514819624072602,-0.000735618926315941
"ADM",-2.64525882546263e-05,0.000229783473586326,-0.0028292006040938,0.00225117623769919,0.000375361702597028,-0.000539015084452267,-7.99244972605832e-05,0.00103293235533716,-0.000804360244238452
"ADP",0.00141957376003084,-0.000154462039093396,-0.000391339171090885,0.0016259588860314,0.000772518175270866,0.000297197586082663,0.00108886942714646,0.00114625426091973,-0.000189662094957747
"ADS",0.000508339565805577,0.000246158470929129,-0.00160004213962964,-0.00161599676066193,0.000851960963011852,0.000641943607605342,0.000163950580144761,-0.000856434867600198,-0.00362494373998148
"ADSK",0.000139915713268245,-0.000725106412428475,-0.000155134609154536,0.000430627736177465,0.00260921240718491,0.00210437549731817,0.000430408787374152,0.00132455559488069,-0.000274557469511932
"AEE",0.00137342398163708,-0.00112870839885701,0.000962285673884903,0.001714219064013,0.000238876549647436,0.000455907585478382,0.000718750665495047,0.0006553618031,0.000589763076446485
"AEP",0.00148380524993703,-0.000912286939047023,0.000502759977763075,0.00160755984489464,-0.000640818346651865,0.000984595009331622,0.000470862760893079,5.01022322904045e-05,0.000617936263246577
"AES",-0.000985606207798997,0.000199776939492963,-0.00323433804666342,0.00304178587244132,-0.0002907438296626,-0.000387088257489411,0.000219198477314148,0.00174973972642067,0.000902030664077111
"AFL",-0.000619037763266354,0.00058351529794116,-0.000536539305708575,0.00205139166694637,-0.000245229397937241,0.0010229014310743,0.00112586929980347,-0.000218746718095013,0.000471541494521098
