"ticker","V2","company","sector"
"A","1","Agilent Technologies Inc.","Health Care"
"ABBV","1","AbbVie Inc.","Health Care"
"ABT","1","Abbott Laboratories","Health Care"
"AFL","1","Aflac Incorporated","Financials"
"AIZ","1","Assurant Inc.","Financials"
"AJG","1","Arthur J. Gallagher & Co.","Financials"
"ALLE","1","Allegion PLC","Industrials"
"AMCR","1","Amcor PLC","Materials"
"AME","1","AMETEK Inc.","Industrials"
"AON","1","Aon plc","Financials"
"APD","1","Air Products and Chemicals Inc.","Materials"
"AVY","1","Avery Dennison Corporation","Materials"
"BAX","1","Baxter International Inc.","Health Care"
"CDNS","1","Cadence Design Systems Inc.","Information Technology"
"CERN","1","Cerner Corporation","Health Care"
"CHTR","1","Charter Communications Inc. Class A","Communication Services"
"CL","1","Colgate-Palmolive Company","Consumer Staples"
"CMCSA","1","Comcast Corporation Class A","Communication Services"
"DG","1","Dollar General Corporation","Consumer Discretionary"
"DHI","1","D.R. Horton Inc.","Consumer Discretionary"
"ECL","1","Ecolab Inc.","Materials"
"EQIX","1","Equinix Inc.","Real Estate"
"FAST","1","Fastenal Company","Industrials"
"GLW","1","Corning Inc","Information Technology"
"GOOG","1","Alphabet Inc. Class C","Communication Services"
"HON","1","Honeywell International Inc.","Industrials"
"ICE","1","Intercontinental Exchange Inc.","Financials"
"IFF","1","International Flavors & Fragrances Inc.","Materials"
"IR","1","Ingersoll-Rand Plc","Industrials"
"ITW","1","Illinois Tool Works Inc.","Industrials"
"JNJ","1","Johnson & Johnson","Health Care"
"LIN","1","Linde plc","Materials"
"LMT","1","Lockheed Martin Corporation","Industrials"
"MAS","1","Masco Corporation","Industrials"
"MCK","1","McKesson Corporation","Health Care"
"MDLZ","1","Mondelez International Inc. Class A","Consumer Staples"
"MMC","1","Marsh & McLennan Companies Inc.","Financials"
"MMM","1","3M Company","Industrials"
"MTD","1","Mettler-Toledo International Inc.","Health Care"
"ORCL","1","Oracle Corporation","Information Technology"
"PEP","1","PepsiCo Inc.","Consumer Staples"
"PFE","1","Pfizer Inc.","Health Care"
"PHM","1","PulteGroup Inc.","Consumer Discretionary"
"PKI","1","PerkinElmer Inc.","Health Care"
"PM","1","Philip Morris International Inc.","Consumer Staples"
"PPG","1","PPG Industries Inc.","Materials"
"SBAC","1","SBA Communications Corp. Class A","Real Estate"
"SNPS","1","Synopsys Inc.","Information Technology"
"SWK","1","Stanley Black & Decker Inc.","Industrials"
"SYMC","1","Symantec Corporation","Information Technology"
"T","1","AT&T Inc.","Communication Services"
"TFX","1","Teleflex Incorporated","Health Care"
"TMO","1","Thermo Fisher Scientific Inc.","Health Care"
"UHS","1","Universal Health Services Inc. Class B","Health Care"
"VAR","1","Varian Medical Systems Inc.","Health Care"
"VRSK","1","Verisk Analytics Inc","Industrials"
"WAT","1","Waters Corporation","Health Care"
"WLTW","1","Willis Towers Watson Public Limited Company","Financials"
"WMT","1","Walmart Inc.","Consumer Staples"
"XRAY","1","DENTSPLY SIRONA Inc.","Health Care"
"XYL","1","Xylem Inc.","Industrials"
"YUM","1","Yum! Brands Inc.","Consumer Discretionary"
"ALB","10","Albemarle Corporation","Materials"
"AMAT","10","Applied Materials Inc.","Information Technology"
"AMD","10","Advanced Micro Devices Inc.","Information Technology"
"ARNC","10","Arconic Inc.","Industrials"
"AXP","10","American Express Company","Financials"
"CAT","10","Caterpillar Inc.","Industrials"
"CBS","10","CBS Corporation Class B","Communication Services"
"CMI","10","Cummins Inc.","Industrials"
"CNP","10","CenterPoint Energy Inc.","Utilities"
"COG","10","Cabot Oil & Gas Corporation","Energy"
"CPRI","10","Capri Holdings Limited","Consumer Discretionary"
"CVX","10","Chevron Corporation","Energy"
"DOV","10","Dover Corporation","Industrials"
"EMR","10","Emerson Electric Co.","Industrials"
"EOG","10","EOG Resources Inc.","Energy"
"ETN","10","Eaton Corp. Plc","Industrials"
"F","10","Ford Motor Company","Consumer Discretionary"
"FLIR","10","FLIR Systems Inc.","Information Technology"
"FLS","10","Flowserve Corporation","Industrials"
"FMC","10","FMC Corporation","Materials"
"GM","10","General Motors Company","Consumer Discretionary"
"GRMN","10","Garmin Ltd.","Consumer Discretionary"
"HLT","10","Hilton Worldwide Holdings Inc","Consumer Discretionary"
"HOG","10","Harley-Davidson Inc.","Consumer Discretionary"
"HPQ","10","HP Inc.","Information Technology"
"HST","10","Host Hotels & Resorts Inc.","Real Estate"
"JCI","10","Johnson Controls International plc","Industrials"
"JEC","10","Jacobs Engineering Group Inc.","Industrials"
"KSU","10","Kansas City Southern","Industrials"
"L","10","Loews Corporation","Financials"
"MGM","10","MGM Resorts International","Consumer Discretionary"
"MU","10","Micron Technology Inc.","Information Technology"
"NEM","10","Newmont Goldcorp Corporation","Materials"
"NRG","10","NRG Energy Inc.","Utilities"
"NSC","10","Norfolk Southern Corporation","Industrials"
"NUE","10","Nucor Corporation","Materials"
"NWS","10","News Corporation Class B","Communication Services"
"NWSA","10","News Corporation Class A","Communication Services"
"OXY","10","Occidental Petroleum Corporation","Energy"
"PH","10","Parker-Hannifin Corporation","Industrials"
"PNR","10","Pentair plc","Industrials"
"PVH","10","PVH Corp.","Consumer Discretionary"
"QCOM","10","QUALCOMM Incorporated","Information Technology"
"UNP","10","Union Pacific Corporation","Industrials"
"UPS","10","United Parcel Service Inc. Class B","Industrials"
"VIAB","10","Viacom Inc. Class B","Communication Services"
"WYNN","10","Wynn Resorts Limited","Consumer Discretionary"
"XOM","10","Exxon Mobil Corporation","Energy"
"APA","11","Apache Corporation","Energy"
"BHGE","11","Baker Hughes a GE Company Class A","Energy"
"COTY","11","Coty Inc. Class A","Consumer Staples"
"CXO","11","Concho Resources Inc.","Energy"
"FANG","11","Diamondback Energy Inc.","Energy"
"FTI","11","TechnipFMC Plc","Energy"
"GE","11","General Electric Company","Industrials"
"HAL","11","Halliburton Company","Energy"
"HES","11","Hess Corporation","Energy"
"HP","11","Helmerich & Payne Inc.","Energy"
"NBL","11","Noble Energy Inc.","Energy"
"NOV","11","National Oilwell Varco Inc.","Energy"
"PRGO","11","Perrigo Co. Plc","Health Care"
"PXD","11","Pioneer Natural Resources Company","Energy"
"SLB","11","Schlumberger NV","Energy"
"XEC","11","Cimarex Energy Co.","Energy"
"APC","12","Anadarko Petroleum Corporation","Energy"
"DVN","12","Devon Energy Corporation","Energy"
"FCX","12","Freeport-McMoRan Inc.","Materials"
"KMI","12","Kinder Morgan Inc Class P","Energy"
"MRO","12","Marathon Oil Corporation","Energy"
"OKE","12","ONEOK Inc.","Energy"
"WMB","12","Williams Companies Inc.","Energy"
"AAL","2","American Airlines Group Inc.","Industrials"
"ACN","2","Accenture Plc Class A","Information Technology"
"ADS","2","Alliance Data Systems Corporation","Information Technology"
"ALL","2","Allstate Corporation","Financials"
"AMG","2","Affiliated Managers Group Inc.","Financials"
"AMP","2","Ameriprise Financial Inc.","Financials"
"AOS","2","A. O. Smith Corporation","Industrials"
"APH","2","Amphenol Corporation Class A","Information Technology"
